id,sku,titulo,descripcion,categorias,marca,precio,precioAnterior,stock,disponible,imagenes
REL001,3000143900,"Reloj analógico/digital con brazalete de acero, acero rosado y esfera de nácar Epic Icon Mesh","Reloj analógico/digital TOUS Epic Icon Mesh con brazalete de acero inoxidable y caja de acero rosado. Diámetro: 30 mm. Esfera de nácar. Cristal mineral redondo plano. Funciones: hora y minutos. Impermeable a 5 ATM. Movimiento analógico/digital de cuarzo japonés. Brazalete: 42,5mm x 14mm x 12mm. Cierre ajustable con cierre de seguridad.","TOUS, relojes, mujer",TOUS,179,199,1,sí,https://cloud-media.tous.com/medias/sys_master/images/hd7/h94/14488086413342/1200Wx1200H_product_3000143900-20250603110133/1200Wx1200H-product-3000143900-20250603110133.jpg | https://cloud-media.tous.com/medias/sys_master/images/hf6/haa/14448953360414/1200Wx1200H_product_3000143900_2-20250520180215/1200Wx1200H-product-3000143900-2-20250520180215.jpg
REL002,3000143500,Reloj analógico con brazalete de acero y acero dorado D-Bear Party,"Reloj analógico TOUS D-Bear Party con brazalete de acero inoxidable, acero dorado y caja transparente. Dimensiones: 36 mm x 48 mm. Esfera de metal con oso facetado acrílico asemejando una gema. Cristal mineral plano octogonal. Funciones: hora y minutos. Impermeable a 3 ATM. Movimiento analógico de cuarzo japonés. Brazalete: 23mm x 18mm x 74mm / 23mm x 18mm x 105mm. Cierre malla milanesa con cierre de seguridad.","TOUS, relojes, mujer",TOUS,152,169,1,sí,https://cloud-media.tous.com/medias/sys_master/images/h0b/h8e/14488269717534/1200Wx1200H_product_3000143500-20250603120150/1200Wx1200H-product-3000143500-20250603120150.jpg | https://cloud-media.tous.com/medias/sys_master/images/h2f/h28/14448943267870/1200Wx1200H_product_3000143500_2-20250520180214/1200Wx1200H-product-3000143500-2-20250520180214.jpg
REL003,3000143600,Reloj analógico con brazalete de acero y acero rosado D-Bear Party,"Reloj analógico TOUS D-Bear Party con brazalete de acero inoxidable, acero rosado y caja transparente. Dimensiones: 36 mm x 48 mm. Esfera de metal con oso facetado acrílico asemejando una gema. Cristal mineral plano octogonal. Funciones: hora y minutos. Impermeable a 3 ATM. Movimiento analógico de cuarzo japonés. Brazalete: 23mm x 18mm x 74mm / 23mm x 18mm x 105mm. Cierre malla milanesa con cierre de seguridad.","TOUS, relojes, mujer",TOUS,152,169,1,sí,https://cloud-media.tous.com/medias/sys_master/images/h96/h5d/14488270635038/1200Wx1200H_product_3000143600-20250603120150/1200Wx1200H-product-3000143600-20250603120150.jpg | https://cloud-media.tous.com/medias/sys_master/images/h57/heb/14448946216990/1200Wx1200H_product_3000143600_2-20250520180214/1200Wx1200H-product-3000143600-2-20250520180214.jpg
REL004,3000143700,Reloj analógico con brazalete de acero D-Bear Party,Reloj analógico TOUS D-Bear Party con brazalete de acero inoxidable y caja transparente. Dimensiones: 36 mm x 48 mm. Esfera de metal con oso facetado acrílico asemejando una gema. Cristal mineral plano octogonal. Funciones: hora y minutos. Impermeable a 3 ATM. Movimiento analógico de cuarzo japonés. Brazalete: 23mm x 18mm x 74mm / 23mm x 18mm x 105mm. Cierre malla milanesa con cierre de seguridad.,"TOUS, relojes, mujer",TOUS,143,159,1,sí,https://cloud-media.tous.com/medias/sys_master/images/hee/h2b/14488085495838/1200Wx1200H_product_3000143700-20250603110133/1200Wx1200H-product-3000143700-20250603110133.jpg | https://cloud-media.tous.com/medias/sys_master/images/hc8/h09/14448948641822/1200Wx1200H_product_3000143700_2-20250520180214/1200Wx1200H-product-3000143700-2-20250520180214.jpg
REL005,3000134600,Reloj digital con brazalete de acero SS y acero IPG dorado D-BEAR,"Reloj digital D-BEAR con brazalete y caja de acero inoxidable y acero en color IPG dorado. Diámetro caja: 36,5 x 44,8 mm. Esfera: metálica / Pantalla cristal líquido (LCD) con luz. Funciones: hora en 12 o 24 horas, minutos, segundos, día, mes y día de la semana, cronógrafo 1/100 segundos y alarma. Impermeable a 3 ATM. Batería: 3V litio CR2025 / 2,5 gramos (litio 0,003 gramos). Cristal: plano cuadrado con forma de oso en el interior. Cierre desplegable con pulsadores.","TOUS, relojes, mujer",TOUS,152,169,1,sí,https://cloud-media.tous.com/medias/sys_master/images/hb5/h78/13024339099678/1200Wx1200H_product_3000134600-20240103100204/1200Wx1200H-product-3000134600-20240103100204.jpg | https://cloud-media.tous.com/medias/sys_master/images/h8b/he3/13072209149982/1200Wx1200H_product_3000134600_2-20240118180144/1200Wx1200H-product-3000134600-2-20240118180144.jpg
REL006,3000134500,Reloj digital con brazalete de acero SS y acero IPG dorado D-BEAR,"Reloj digital D-BEAR con brazalete y caja de acero inoxidable y acero en color IPG dorado. Diámetro caja: 36,5 x 44,8 mm. Esfera: metálica / Pantalla cristal líquido (LCD) con luz. Funciones: hora en 12 o 24 horas, minutos, segundos, día, mes y día de la semana, cronógrafo 1/100 segundos y alarma. Impermeable a 3 ATM. Batería: 3V litio CR2025 / 2,5 gramos (litio 0,003 gramos). Cristal: plano cuadrado con forma de oso en el interior. Cierre desplegable con pulsadores.","TOUS, relojes, mujer",TOUS,143,159,2,sí,https://cloud-media.tous.com/medias/sys_master/images/hbf/hc1/13024336150558/1200Wx1200H_product_3000134500-20240103100203/1200Wx1200H-product-3000134500-20240103100203.jpg | https://cloud-media.tous.com/medias/sys_master/images/hf3/hed/13072204955678/1200Wx1200H_product_3000134500_2-20240118180143/1200Wx1200H-product-3000134500-2-20240118180143.jpg
REL007,3000136500,Reloj analógico con brazalete acero IPG dorado Karat,Toda la familia Karat está inspirada en las tallas de las gemas preciosas.; vínculo entre el heritage relojero y la esencia joyera de la marca. El brazalete se encuentran perfectamente integrado a modo de pulsera con eslabones trabajados y facetados ofreciendo un brillo que da carácter a esta colección,"TOUS, relojes, mujer",TOUS,206,229,1,sí,https://cloud-media.tous.com/medias/sys_master/images/hcf/hb5/13620347895838/1200Wx1200H_product_3000136500-20240805140152/1200Wx1200H-product-3000136500-20240805140152.jpg | https://cloud-media.tous.com/medias/sys_master/images/h14/h09/13620349272094/1200Wx1200H_product_3000136500_2-20240805140152/1200Wx1200H-product-3000136500-2-20240805140152.jpg
REL008,3000136300,Reloj analógico de acero IPG dorado con correa de piel negra Heritage,El reloj Heritage es un tributo a nuestros orígenes relojeros. La esencia de los inicios de TOUS en una colección atemporal. Los acabados bicolor son perfectos para generar looks con nuestras colecciones de joyeríaTimeless,"TOUS, relojes, mujer",TOUS,143,159,1,sí,https://cloud-media.tous.com/medias/sys_master/images/h82/hc4/13620341538846/1200Wx1200H_product_3000136300-20240805140151/1200Wx1200H-product-3000136300-20240805140151.jpg | https://cloud-media.tous.com/medias/sys_master/images/hca/h75/13620343111710/1200Wx1200H_product_3000136300_2-20240805140152/1200Wx1200H-product-3000136300-2-20240805140152.jpg
REL009,700350165,Reloj analógico Icon Charms de acero IP dorado con nácar,Esfera: nácar,"TOUS, relojes, mujer",TOUS,206,229,1,sí, https://cloud-media.tous.com/medias/sys_master/images/h10/h6f/13240560943134/1200Wx1200H_product_700350165-20240314180115/1200Wx1200H-product-700350165-20240314180115.jpg | https://cloud-media.tous.com/medias/sys_master/images/hd6/hd1/13370330578974/1200Wx1200H_product_700350165_9-20240502190111/1200Wx1200H-product-700350165-9-20240502190111.jpg
REL010,200350500,Reloj analógico S-Mesh de acero inoxidable,Elegancia clásica y atemporal. Este reloj de acero inoxidable de la colección S-Mesh renueva el estilo de los modelos más clásicos aportando estilo y distinción a tu look.,"TOUS, relojes, mujer",TOUS,170,189,1,sí,https://cloud-media.tous.com/medias/sys_master/images/hca/h4b/13242366099486/1200Wx1200H_product_200350500-20240315120110/1200Wx1200H-product-200350500-20240315120110.jpg | https://cloud-media.tous.com/medias/sys_master/images/h18/h21/13350841581598/1200Wx1200H_product_200350500_9-20240425160056/1200Wx1200H-product-200350500-9-20240425160056.jpg
